,states,x,y
0,Andhra Pradesh,-60,-140
1,Arunachal Pradesh,260,135
2,Assam,171,85
3,Bihar,50,75
4,Chhattisgarh,-38,-25
5,Goa,-184,-150
6,Gujarat,-239,15
7,Haryana,-144,150
8,Himachal Pradesh,-129,215
9,Jharkhand,65,28
10,Karnataka,-158,-170
11,Kerala,-130,-260
12,Madhya Pradesh,-126,15
13,Maharashtra,-180,-65
14,Manipur,205,45
15,Meghalaya,152,66
16,Mizoram,200,10
17,Nagaland,229,84
18,Odisha,19,-44
19,Punjab,-150,193
20,Rajasthan,-212,102
21,Sikkim,115,117
22,Tamil Nadu,-96,-240
23,Telangana,-98,-102
24,Tripura,165,25
25,Uttar Pradesh,-70,117
26,Uttarakhand,-82,182
27,West Bengal,94,14
